id,name,price,type
61,user31,1000,4
62,user32,2000,4
63,user33,3000,4
64,user34,4000,4
65,user35,5000,4
66,user36,6000,4
67,user37,7000,4
68,user38,8000,4
69,user39,9000,4
70,user40,10000,4
71,user41,11000,4
72,user42,12000,4
73,user43,13000,4
74,user44,14000,4
75,user45,15000,4
76,user46,16000,4
77,user47,17000,4
78,user48,18000,4
79,user49,19000,4
80,user50,20000,4
81,user51,21000,4
82,user52,22000,4
83,user53,23000,4
84,user54,24000,4
85,user55,25000,4
86,user56,26000,4
87,user57,27000,4
88,user58,28000,4
89,user59,29000,4
90,user50,30000,4
